#{"t_start": 1769142870.3963459, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,1569,5111.534617
385.0,3212,5136.025289
100.0,2135,5153.234881
175.0,2807,5174.791605
50.0,2109,5192.127756
15.0,1915,5206.954588
165.0,2595,5226.930376
145.0,2023,5242.904315
230.0,2049,5259.117388
235.0,2607,5278.886961
230.0,2441,5298.389155
225.0,1965,5313.327481
355.0,3261,5338.957544
175.0,1949,5353.973443
230.0,2101,5370.193651
230.0,2419,5389.610578
170.0,1997,5404.741721
85.0,1659,5417.704487
105.0,1935,5432.717074
125.0,1975,5447.930773
165.0,1435,5458.713032
155.0,2239,5475.12813
180.0,1887,5489.342559
220.0,2711,5510.178848
175.0,4301,5542.147487
60.0,1371,5552.66344
60.0,1179,5561.593653
130.0,2017,5576.569347
115.0,1957,5591.077798
145.0,1877,5605.316625
380.0,3343,5631.159079
235.0,3143,5655.216223
360.0,4761,5691.683876
235.0,2417,5709.531795
210.0,2449,5728.184244
95.0,1589,5739.789377
310.0,4112,5771.76165
55.0,1155,5779.954067
175.0,1939,5816.125469
145.0,3387,5842.109795
300.0,2193,5859.162011
260.0,3917,5889.703576
375.0,5695,5933.501062
125.0,3171,5958.122488
110.0,2409,5976.419044
180.0,2543,5996.435782
60.0,2417,6014.772188
95.0,2151,6032.256156
110.0,1351,6042.140559
875.0,5573,6086.185664
210.0,2537,6105.494082
150.0,1591,6117.867276
80.0,1115,6126.735203
180.0,2637,6146.910105
260.0,2977,6170.009281
120.0,1971,6185.08005
105.0,2003,6201.292268
155.0,2503,6220.349499
425.0,3005,6243.886132
235.0,4795,6281.935896
265.0,2639,6302.079021
160.0,3767,6332.078128
210.0,2535,6351.712591
440.0,3685,6380.266257
260.0,5109,6420.442568
580.0,4047,6453.08252
110.0,1969,6468.323955
415.0,7049,6524.28612
225.0,1717,6537.866868
295.0,2985,6561.741727
235.0,1629,6574.436409
215.0,3645,6602.839694
235.0,2443,6622.361971
335.0,3725,6651.676369
345.0,4529,6687.82857
130.0,2553,6707.347573
55.0,1149,6716.551814
250.0,2573,6736.271118
170.0,1963,6752.66792
150.0,1671,6765.569715
175.0,1947,6780.810639
210.0,2485,6799.836984
450.0,4325,6834.542448
150.0,1591,6847.000626
270.0,2953,6870.70166
340.0,3749,6900.37553
225.0,2019,6916.171919
130.0,1993,6931.659007
265.0,3015,6955.828167
475.0,2997,6979.851174
665.0,4337,7014.885749
270.0,2913,7037.279298
275.0,2961,7061.254476
195.0,2077,7077.788379
180.0,2435,7097.639523
120.0,1883,7112.641816
240.0,3205,7138.695035
155.0,2353,7157.815659
210.0,2513,7177.847919
210.0,2565,7198.838514
140.0,2791,7220.411526
295.0,3529,7248.854529
260.0,2453,7268.663519
210.0,2017,7284.424752
210.0,2543,7305.173916
210.0,2565,7325.35877
225.0,2297,7344.296829
185.0,2417,7363.126753
245.0,3315,7389.716446
250.0,2713,7411.706639
265.0,3835,7442.262605
465.0,4247,7476.860469
295.0,3485,7505.372076
240.0,1913,7520.73246
285.0,3511,7549.589968
